COMID,lat,lon,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_11,frac_12,frac_14,frac_16,frac_17,frac_18,frac_19
71028585,51.1675923520923,-115.573618326118,0.537666916847229,0,0,0.00660614017397165,0.0050590974278748,0.0711046308279037,0,0,0,0.000334793701767921,0.346964478492737,0.0322639606893063,0
71028597,51.1770042774213,-115.613003360831,0.430410832166672,0.054543174803257,0.00755812181159854,0.0101216407492757,0.0281763579696417,0.238949090242386,0,0,0.000839791318867356,0.093155562877655,0.0520756579935551,0.0841697230935097,0
71028609,51.1726656568571,-115.649825687632,0.663910925388336,0.0493241623044014,0.000816983636468649,0.00621372787281871,0.00786836724728346,0.0472469143569469,0,0,0,0.194319695234299,0.00541684590280056,0.0248824208974838,0
71028676,51.1948847202864,-115.754929153741,0.459121733903885,0.028267964720726,0.00220269430428743,0.00512145087122917,0.0221679117530584,0.223397240042686,0,9.73980422713794e-05,0.000520094064995646,0.231024727225304,0.0144898844882846,0.0134721286594868,0.00011676580470521
71028700,51.2315339360023,-115.839235184388,0.831296741962433,0.0162830445915461,0,0.000646153464913368,0.00589811336249113,0.0251481756567955,0,0,0.00050256383838132,0.0607984140515327,0.039387084543705,0.0200397092849016,0
71028740,51.2677974498147,-115.895695485483,0.72430020570755,0.0139598548412323,0,0.000100660508906003,0.0122373197227716,0.054700743407011,0,0,0.000101076191640459,0.167478799819946,0.0130708180367947,0.0138192949816585,0.000231247002375312
71028852,51.3087116671424,-116.018158397552,0.759499371051788,0.0161289181560278,0.000715208356268704,0.000913877331186086,0.0112249823287129,0.0254004914313555,0.000127148145111278,0,0.000246349547524005,0.157104521989822,0.0166473761200905,0.0114932768046856,0.000498525565490127
71028904,51.3510146966855,-116.10112398374,0.860028982162476,0.0145565951243043,0.000313713448122144,0.00032326893415302,0.0106850629672408,0.0104890167713165,0,0.000627426896244287,0.000407827465096489,0.0791779533028603,0.0143524492159486,0.00819065608084202,0.000847026298288256
71028957,51.3917951569064,-116.124330985915,0.865406274795532,0.0134002594277263,0,0.000331717601511627,0.0122025609016418,0.0345664098858833,0,9.28715817281045e-05,0.000248119700700045,0.0378162674605846,0.0225981809198856,0.0131512871012092,0.000186089760973118
71028974,51.4379526828019,-116.15269816878,0.762266457080841,0.0245199408382177,0,0.00142719899304211,0.0224111191928387,0.123000986874104,0,0.000386148312827572,0.000514864397700876,0.0416910126805305,0.0195673033595085,0.0042149699293077,0
71029016,51.4097199014567,-116.177020672665,0.848492920398712,0.0014124633744359,0,0,0.00247474364005029,0.00505708483979106,0,0,0,0.00286045321263373,0.12502883374691,0.0146735096350312,0
71029022,51.4227884615385,-116.180256410256,0.377058953046799,0,0,0,0,0,0,0,0,0,0.602711796760559,0.0202292874455452,0
71029071,51.4421162528217,-116.200753386004,0.88342946767807,0,0,0,0.00593242840841413,0.00763142528012395,0,0,0,0.00557833444327116,0.0801746100187302,0.017253715544939,0
71029528,51.5233515605415,-116.281869150581,0.743695974349976,0.0132241370156407,0.00065215298673138,0.00455455202609301,0.0224848352372646,0.0736215636134148,0,0.000280569394817576,0.000683708756696433,0.109462819993496,0.00641491077840328,0.0168405864387751,0.00808420404791832
71029778,51.6116902882912,-116.311351935363,0.496840596199036,0.0134628303349018,0,0.000352077709976584,0.0158379282802343,0.0256539583206177,0.000541658024303615,0,0.00119164760690182,0.401623100042343,0.00598718924447894,0.00713818240910769,0.0313708186149597
71029798,51.1452889825406,-115.673966987758,0.901268303394318,0.0120717342942953,0,0,0.00235743308439851,0.00346095766872168,0,0,0,0.0580266080796719,0.0131193259730935,0.00969572272151709,0
71029857,51.2047592518236,-115.577004282942,0.592392444610596,0.0234151240438223,0.000803131842985749,0.00318569573573768,0.029378280043602,0.102218233048916,0,0,0.00150587223470211,0.143195912241936,0.0924075618386269,0.00992491375654936,0.0015727998688817
71029963,51.1132636048097,-115.677521073509,0.682515382766724,0.0381812900304794,0,0.00748043088242412,0.0131318252533674,0.0627165511250496,0,0,0.000371193804312497,0.195603355765343,0,0,0
71029992,51.5128003437569,-116.179190563318,0.603764057159424,0.0187700372189283,0.00167461321689188,0.00175079784821719,0.0560297071933746,0.0964533090591431,0,0.00141031853854656,0.0045437840744853,0.202147364616394,0.00460280478000641,0.00630770996212959,0.00254548760131001
71030026,51.5654467353952,-116.153341924399,0.956280052661896,0,0,0,0.0360571928322315,0.00766273541375995,0,0,0,0,0,0,0
71030071,51.0959514170041,-115.6539788574,0.675270974636078,0.050857275724411,0,0.000785468379035592,0.0124202547594905,0.0417798012495041,0,0,0,0.217764109373093,0,0,0.00112209771759808
